r1bq1rk1/pp3ppp/2Bbpn2/2pp4/3P1B2/2P1P2N/PP1N1PPP/R2QK2R b KQ - 0 8	b7c6	53	22
rnbqkbnr/pp3ppp/8/3p4/P2p4/8/1PPN1PPP/R1BQKBNR w KQkq - 0 6	d2b3	0	22
r1bq1rk1/2p1bppp/p2p1n2/1p2p3/4P3/1nNP1N1P/PPP2PP1/R1BQR1K1 w - - 0 11	a2b3	-1	22
1rbq1rk1/pp2ppbp/2np1np1/2p5/P3P3/2NP1NP1/1PP2PBP/R1BQ1RK1 w - - 1 9	c3d5	-11	22
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2N1PN1P/PP3PP1/R1BQKB1R w KQkq - 1 7	f1d3	5	22
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQ1RK1 b - - 4 8	a8b8	30	22
rnbqkb1r/1p3ppp/p2p1n2/4p3/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 0 7	d4b3	37	22
r1bq1rk1/p4ppp/2pbpn2/2pp4/3P1B2/2P1P2N/PP1N1PPP/R2QK2R w KQ - 0 9	f4d6	-56	22
r1bqk2r/pp2ppbp/2np1np1/2p5/4P2P/2NP1NP1/PPP2PB1/R1BQK2R b KQkq - 2 7	c8g4	56	22
r1bqr1k1/pppp1ppp/2n2n2/1Bb3B1/3NP3/2P5/PP3PPP/RN1QR1K1 b - - 6 9	h7h6	15	22
r1bq1rk1/p4ppp/2pbpn2/2pp4/Q2P1B2/2P1P2N/PP1N1PPP/R3K2R b KQ - 1 9	c5d4	60	22
r1bqr1k1/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQR1K1 w - - 5 9	f2f3	-18	22
r1bqk2r/pp1pppbp/2n2np1/2p5/P1P5/2N2NP1/1P1PPPBP/R1BQK2R b KQkq - 0 6	d7d5	17	22
r1bqk2r/pp1pppbp/2n2np1/2p5/Q1P5/2N2NP1/PP1PPPBP/R1B1K2R b KQkq - 5 6	e8g8	25	22
rnbqkbnr/pp3ppp/8/2pp4/3P4/7P/PPPN1PP1/R1BQKBNR b KQkq - 0 5	c5c4	7	22
rnbqk2r/p3nppp/1p2p3/2ppP3/P2P4/2P2N2/2P2PPP/R1BQKB1R b KQkq - 0 8	c8a6	-28	22
rnbqk2r/pp2ppbp/6p1/2p5/3PP3/2P1BN2/P4PPP/R2QKB1R b KQkq - 1 8	d8a5	-18	22
rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/P1PBP3/5PPP/R1BQK1NR b KQ - 0 7	d5c4	-13	22
rnbqk2r/pp3ppp/2pb4/3p4/2PPn3/5N2/PP2BPPP/RNBQ1RK1 b kq - 1 8	e8g8	-3	22
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP2QPPP/RNB1K2R b KQkq - 1 6	a7a6	-20	22
rnbq1rk1/p1p2ppp/1p3n2/3p4/1b1P4/2NBPN2/PP3PPP/R1BQ1RK1 b - - 1 8	c7c5	-6	22
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N1P/PPP2PP1/RNBQR1K1 w - - 1 10	b1d2	-20	22
rnbq1rk1/pp2bppp/4pn2/2ppN3/2P5/3P2P1/PP2PPBP/RNBQ1RK1 b - - 0 7	a7a6	4	22
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4P3/P1NP2PP/1PP1NPB1/R1BQK2R w KQ - 3 9	e1g1	-27	22
rn1qkb1r/1p3ppp/p2pbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R b KQkq - 3 8	b8d7	-26	22
r1bqkb1r/pp2pppp/2np1n2/1B6/3NP3/2N5/PPP2PPP/R1BQK2R b KQkq - 4 6	c8d7	-18	22
r1bqkb1r/pp3ppp/2np4/1N1Pp3/8/8/PPP2PPP/R1BQKB1R b KQkq - 0 8	c6b8	-23	22
r1bq1rk1/ppp1bppp/2np1n2/4p3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 b - - 0 7	c8e6	-23	22
r1bqk2r/ppp1bppp/2np1n2/4p3/P1B1P3/3P1N2/1PPN1PPP/R1BQK2R b KQkq - 0 6	e8g8	-20	22
