r2qkb1r/1p3ppp/p1npbn2/4p3/4P3/N1N2P2/PPP3PP/R1BQKB1R w KQkq - 2 9	a3c4,c1g5,c1e3,f1e2,a3b1,d1d2,f1d3,h2h4,f3f4,a1b1,f1c4,g2g3,c3d5,c1d2,e1f2,h1g1
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/P1P1P3/1P1N1PPP/R2QKBNR b KQkq - 0 6	f8d6,f8e7,h7h6,a7a6,c5d4,a7a5,d8b6,d8d7,c5c4,g7g6,c8d7,b7b6,h7h5,c6b8,f6g8,f6d7
r1bqk2r/1pp2ppp/1bnp1n2/p3p3/PPB1P3/2PP1N2/5PPP/RNBQK2R w KQkq - 0 8	b4b5,e1g1,d1b3,b4a5,b1d2,c1a3,c1e3,c1d2,c4b5,f3g5,h2h3,d1e2,c1g5,b1a3,c4b3,c1b2
rnbqk2r/ppp1bppp/4pn2/8/2Pp4/1P3NP1/P2PPPBP/RNBQK2R w KQkq - 0 6	b3b4,e2e3,e1g1,d2d3,c1b2,a2a3,c1a3,f3e5,b1a3,h2h3,d1c2,a2a4,f3g5,f3h4,h2h4,c4c5
rn1qkbnr/pp2pppp/2p3b1/8/3P4/4B1N1/PPP2PPP/R2QKBNR b KQkq - 4 6	e7e6,d8a5,g8f6,b8d7,d8b6,d8c7,a7a5,h7h5,a7a6,h7h6,d8d6,d8d5,d8c8,b8a6,b7b6,e7e5
1rbqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQK2R w KQk - 1 8	h2h3,f2f4,e1g1,c1e3,c3d5,c1g5,c1f4,c1d2,f2f3,a1a2,d1d2,h2h4,e2f4,a1b1,c3b1,b2b3
1rbqk1nr/pp2ppbp/2np2p1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQK2R b KQk - 0 7	g8f6,e7e6,a7a6,e7e5,b7b6,h7h5,h7h6,c8d7,c8g4,d8d7,b8a8,g8h6,d8c7,c8e6,f7f5,c6b4
rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b KQkq - 0 6	h7h6,h7h5,g8f6,g8h6,d8c8,b8d7,g6f5,e7e6,d8d7,d8c7,d8d5,f7f6,a7a6,d8b6,b8a6,d8a5
rn1qkbnr/pp2ppp1/2p3bp/8/3P3P/6N1/PPP2PP1/R1BQKBNR w KQkq - 0 7	g1f3,h4h5,c1f4,g1e2,c2c3,a2a3,f1d3,c1e3,g1h3,f1c4,a2a4,c2c4,f2f4,h1h3,f1e2,b2b3
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 b kq - 1 7	b7b5,b8c6,b8d7,d8c7,c5d4,f8e7,h7h6,f8d6,c8d7,a8a7,b7b6,d8d7,d8b6,d8a5,h7h5,g7g6
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQK2R b KQkq - 0 5	e8g8,d5d4,b7b6,c7c5,b8d7,h7h6,b8c6,a7a5,c8d7,a7a6,c7c6,b8a6,d5c4,f6e4,e7d6,h7h5
rnbqkb1r/5ppp/p3pn2/1pp5/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 w kq - 0 8	c4b3,c4e2,c4d3,d4d5,c3b5,e3e4,d4c5,d1e2,c4e6,b2b3,d1c2,f3e5,f1e1,c1d2,f3d2,c3a4
r1bqkb1r/pp2pppp/2np1n2/8/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq - 4 6	g7g6,c8e6,a7a6,e7e5,a8b8,c8d7,e7e6,h7h6,h7h5,a7a5,d8c7,c8g4,f6d7,b7b6,d8d7,c6a5
r1bqk2r/ppp2ppp/1bnp1n2/4p3/PPB1P3/2PP1N2/5PPP/RNBQK2R b KQkq - 0 7	a7a5,a7a6,f6g4,e8g8,g7g5,d6d5,c8g4,c6e7,c6b4,c8e6,h7h6,f6e4,c8d7,c6a5,a8b8,b6f2
r1bqkb1r/pp2pp1p/2np1np1/8/4P3/1NN5/PPP2PPP/R1BQKB1R w KQkq - 0 7	c1g5,f2f3,c1e3,c1f4,f1e2,f1c4,h2h4,h2h3,f1d3,a2a4,a2a3,f1b5,a1b1,f2f4,c1d2,d1e2
1rbqk2r/pp2ppbp/2np1np1/2pN4/4P3/3P1NP1/PPP2PBP/R1BQ1RK1 b k - 5 8	e8g8,b7b5,f6d5,c8g4,e7e5,h7h5,a7a5,c8e6,a7a6,c8d7,d8a5,f6g4,f6d7,b7b6,h7h6,e7e6
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NPP/PP1PPPB1/R1BQK2R b KQkq - 0 6	d7d5,e8g8,d7d6,e7e5,a8b8,c6a5,d8a5,c6d4,b7b6,d8b6,a7a5,h7h5,a7a6,f6h5,h7h6,d8c7
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq - 1 7	f8e7,c8e6,f6g4,h7h5,h7h6,d8c7,g7g6,b8d7,c8d7,b7b6,b8c6,c8g4,d8d7,d8e7,h8g8,a6a5
r1bqk2r/pp2ppbp/2n2np1/2pp4/2P5/2N2NPP/PP1PPPB1/R1BQK2R w KQkq - 0 7	d2d4,d2d3,c4d5,d1a4,c3d5,e1g1,d1b3,b2b3,a1b1,e1f1,h3h4,e2e3,f3g5,a2a4,c3b1,d1c2
r1bqr1k1/ppp2pbp/2np1np1/8/2PNP3/2N1B3/PPQ1BPPP/R3K2R w KQ - 3 10	a1d1,d4c6,e1g1,d4b5,d4f3,d4b3,a2a3,a1c1,h2h3,e1c1,a2a4,c2d3,e1f1,a1b1,h2h4,c2d1
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR b KQkq - 1 6	f8e7,c5c4,d8b6,f8d6,c5d4,a7a6,a7a5,g7g6,h7h6,c8d7,b7b6,d8e7,f6d7,h7h5,d8a5,c6b8
r2q1rk1/2pbbppp/p1np1n2/1p2p3/P3P3/1BP2N2/1P1P1PPP/RNBQR1K1 w - - 1 10	b3c2,d2d4,a4a5,a4b5,h2h3,d2d3,b3a2,b1a3,d1e2,e1e2,a1a2,g1h1,e1e3,b3d5,g1f1,f3g5
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/P1PP4/2N1PN2/1P2BPPP/R1BQK2R w KQ - 3 8	e1g1,h2h3,c1d2,d1c2,a4a5,d1b3,d1d2,b2b3,g2g3,f3d2,f3h4,c4c5,d1d3,e2d3,f3g5,a1b1
rnbq1rk1/ppp2ppp/3b4/3p4/3Pn3/2P2N1P/PP2BPP1/RNBQK2R w KQ - 3 9	e1g1,b1d2,c3c4,a2a4,e2d3,c1e3,a2a3,f3d2,e2b5,d1c2,d1b3,f3e5,d1a4,e2f1,d1d3,c1d2
rn1qk2r/pbppbppp/1p2pn2/8/2PP1B2/5NP1/PP2PPBP/RN1QK2R b KQkq - 4 6	d7d6,e8g8,d7d5,h7h6,e7b4,c7c6,a7a6,b8a6,a7a5,c7c5,b8c6,f6h5,d8c8,f6e4,h7h5,b7c6
rnbqr1k1/ppp2pbp/3p1np1/8/2PNP3/2N1B3/PPQ1BPPP/R3K2R b KQ - 2 9	c7c6,d8e7,c7c5,b8c6,b8a6,f6g4,a7a6,b8d7,c8d7,f6d7,h7h5,a7a5,b7b6,h7h6,d8d7,g7f8
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2P1P3/PP1NBPPP/R2QK1NR b KQkq - 1 6	f8d6,f8e7,a7a5,h7h6,a7a6,c8d7,d8b6,b7b6,c5d4,d8d7,c5c4,f6g8,c6b8,f6d7,g7g6,d8a5
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P1B2/2P1P3/PP1NBPPP/R2QK1NR w KQkq - 2 7	f4d6,f4g3,d4c5,f4g5,d2b3,g1h3,g1f3,g2g3,d2f3,d1a4,e2b5,a1c1,a2a3,h2h4,e2d3,d1c1
